      TIME              V(A)              V(Y)             I(VVDD)     
   1.11744288e-09    1.20000000e+00    1.81466276e-05   -6.68903109e-09
   1.13897274e-09    1.20000000e+00   -2.91290802e-06    1.35972835e-09
   1.15762391e-09    1.20000000e+00    3.83711958e-07   -6.34686081e-10
   1.17627509e-09    1.20000000e+00    6.68492345e-08    3.44088633e-10
   1.19492626e-09    1.20000000e+00    9.73048854e-08   -5.37065467e-10
   1.23222861e-09    1.20000000e+00    9.35230073e-08    3.34996992e-10
   1.30683331e-09    1.20000000e+00    9.53739331e-08   -5.36403851e-10
   1.45604270e-09    1.20000000e+00    9.40313334e-08    3.34819685e-10
   1.75446150e-09    1.20000000e+00    9.51790792e-08   -5.36336510e-10
   2.15446150e-09    1.20000000e+00    9.41294286e-08    3.34785764e-10
   2.55446150e-09    1.20000000e+00    9.51019883e-08   -5.36310007e-10
   2.95446150e-09    1.20000000e+00    9.42010256e-08    3.34761209e-10
   3.02000000e-09    1.20000000e+00    9.49029017e-08   -5.36242057e-10
   3.02003125e-09    1.19812500e+00   -2.34980728e-04   -6.56725773e-05
   3.02004497e-09    1.19730192e+00   -3.37988870e-04   -6.56301021e-05
   3.02005731e-09    1.19656115e+00   -4.30547992e-04   -6.55944151e-05
   3.02008201e-09    1.19507962e+00   -6.15370508e-04   -6.55196784e-05
   3.02013139e-09    1.19211654e+00   -9.83256128e-04   -6.53839161e-05
   3.02023016e-09    1.18619039e+00   -1.71210357e-03   -6.51053895e-05
   3.02042770e-09    1.17433809e+00   -3.14300025e-03   -6.45817071e-05
   3.02062524e-09    1.16248578e+00   -4.53957660e-03   -6.40778333e-05
   3.02082278e-09    1.15063348e+00   -5.90367684e-03   -6.36082739e-05
   3.02102031e-09    1.13878118e+00   -7.23709849e-03   -6.31569284e-05
   3.02121785e-09    1.12692887e+00   -8.54159499e-03   -6.27384452e-05
   3.02141539e-09    1.11507657e+00   -9.81887873e-03   -6.23369087e-05
   3.02181047e-09    1.09137197e+00   -1.22992669e-02   -6.16160876e-05
   3.02220554e-09    1.06766736e+00   -1.46903960e-02   -6.09843218e-05
   3.02260062e-09    1.04396275e+00   -1.70048291e-02   -6.04546448e-05
   3.02299570e-09    1.02025815e+00   -1.92548474e-02   -6.00241354e-05
   3.02339077e-09    9.96553543e-01   -2.14526990e-02   -5.97247618e-05
   3.02378585e-09    9.72848937e-01   -2.36110305e-02   -5.95894579e-05
   3.02457600e-09    9.25439726e-01   -2.78716985e-02   -6.00876692e-05
   3.02536616e-09    8.78030514e-01   -3.21839189e-02   -6.34473981e-05
   3.02549149e-09    8.70510705e-01   -3.28873987e-02   -6.43591360e-05
   3.02561682e-09    8.62990895e-01   -3.35992841e-02   -6.64133347e-05
   3.02586748e-09    8.47951277e-01   -3.50537736e-02   -6.80234484e-05
   3.02611814e-09    8.32911659e-01   -3.65560174e-02   -7.20412024e-05
   3.02636880e-09    8.17872040e-01   -3.81119419e-02   -7.43189066e-05
   3.02661946e-09    8.02832422e-01   -3.97239737e-02   -7.86774572e-05
   3.02687012e-09    7.87792803e-01   -4.13908982e-02   -8.09899611e-05
   3.02712078e-09    7.72753185e-01   -4.31084803e-02   -8.51661808e-05
   3.02737144e-09    7.57713566e-01   -4.48704341e-02   -8.71853455e-05
   3.02762210e-09    7.42673948e-01   -4.66693436e-02   -9.10437514e-05
   3.02787276e-09    7.27634330e-01   -4.84973347e-02   -9.27752598e-05
   3.02837408e-09    6.97555093e-01   -5.22070103e-02   -9.90639639e-05
   3.02887540e-09    6.67475856e-01   -5.59390989e-02   -1.02966370e-04
   3.02901996e-09    6.58802505e-01   -5.70065763e-02   -1.04654552e-04
   3.02930907e-09    6.41455804e-01   -5.91359867e-02   -1.08116866e-04
   3.02959818e-09    6.24109103e-01   -6.12350328e-02   -1.10463072e-04
   3.02988729e-09    6.06762402e-01   -6.32914391e-02   -1.13971824e-04
   3.03017640e-09    5.89415701e-01   -6.52924424e-02   -1.16369375e-04
   3.03046552e-09    5.72069000e-01   -6.72247652e-02   -1.19925329e-04
   3.03075463e-09    5.54722299e-01   -6.90746677e-02   -1.22360337e-04
   3.03104374e-09    5.37375598e-01   -7.08280772e-02   -1.25941524e-04
   3.03133285e-09    5.20028897e-01   -7.24707880e-02   -1.28389713e-04
   3.03162196e-09    5.02682196e-01   -7.39887223e-02   -1.31974373e-04
   3.03191108e-09    4.85335495e-01   -7.53682531e-02   -1.34420629e-04
   3.03220019e-09    4.67988794e-01   -7.65966225e-02   -1.38004583e-04
   3.03248930e-09    4.50642093e-01   -7.76625038e-02   -1.40461049e-04
   3.03277841e-09    4.33295391e-01   -7.85566887e-02   -1.44078432e-04
   3.03306752e-09    4.15948690e-01   -7.92727060e-02   -1.46602881e-04
   3.03335663e-09    3.98601989e-01   -7.98070228e-02   -1.50326786e-04
   3.03364575e-09    3.81255288e-01   -8.01585776e-02   -1.52988383e-04
   3.03393486e-09    3.63908587e-01   -8.03277848e-02   -1.56862695e-04
   3.03422397e-09    3.46561886e-01   -8.03154721e-02   -1.59669416e-04
   3.03451308e-09    3.29215185e-01   -8.01221556e-02   -1.63671120e-04
   3.03480219e-09    3.11868484e-01   -7.97477508e-02   -1.66582923e-04
   3.03509130e-09    2.94521783e-01   -7.91915921e-02   -1.70668351e-04
   3.03538042e-09    2.77175082e-01   -7.84525871e-02   -1.73645901e-04
   3.03566953e-09    2.59828381e-01   -7.75293914e-02   -1.77782825e-04
   3.03595864e-09    2.42481680e-01   -7.64205533e-02   -1.80800774e-04
